Time ,Fura 1,Fura 2,Fura 3,Fura 4
0,0.768,0.873,0.719,1.031
0.004,0.776,0.864,0.703,1.034
0.008,0.766,0.869,0.71,1.029
0.012,0.763,0.856,0.696,1.025
0.016,0.763,0.871,0.706,1.031
0.02,0.762,0.868,0.696,1.024
0.024,0.761,0.861,0.71,1.029
0.028,0.761,0.855,0.691,1.026
0.032,0.748,0.846,0.696,1.027
0.036,0.753,0.859,0.686,1.025
0.04,0.742,0.856,0.706,1.021
0.044,0.747,0.852,0.692,1.024
0.048,0.752,0.851,0.69,1.021
0.052,0.735,0.847,0.682,1.021
0.056,0.747,0.856,0.696,1.026
0.06,0.741,0.849,0.684,1.02
0.064,0.732,0.842,0.69,1.022
0.068,0.736,0.84,0.678,1.015
0.072,0.747,0.849,0.685,1.026
0.076,0.729,0.845,0.69,1.019
0.08,0.739,0.844,0.678,1.014
0.084,0.729,0.844,0.676,1.015
0.088,0.732,0.849,0.674,1.014
0.092,0.724,0.842,0.685,1.016
0.096,0.725,0.845,0.667,1.029
0.1,0.743,0.894,0.752,1.097
0.104,0.851,0.997,0.967,1.176
0.108,0.977,1.077,1.19,1.24
0.112,1.089,1.152,1.383,1.294
0.116,1.182,1.209,1.539,1.334
0.12,1.257,1.242,1.712,1.37
0.124,1.296,1.292,1.845,1.391
0.128,1.364,1.331,1.95,1.414
0.132,1.424,1.359,2.154,1.437
0.136,1.458,1.377,2.299,1.461
0.14,1.484,1.421,2.326,1.476
0.144,1.533,1.442,2.483,1.493
0.148,1.558,1.471,2.597,1.507
0.152,1.595,1.487,2.641,1.52
0.156,1.619,1.519,2.791,1.549
0.16,1.663,1.533,2.814,1.547
0.164,1.664,1.546,3.045,1.555
0.168,1.674,1.561,3.138,1.583
0.172,1.714,1.564,3.205,1.59
0.176,1.741,1.603,3.165,1.581
0.18,1.718,1.593,3.294,1.591
0.184,1.758,1.617,3.447,1.615
0.188,1.796,1.618,3.504,1.617
0.192,1.809,1.626,3.572,1.62
0.196,1.798,1.641,3.426,1.634
0.2,1.84,1.645,3.646,1.635
0.204,1.865,1.665,3.711,1.641
0.208,1.867,1.667,3.765,1.636
0.212,1.89,1.664,3.722,1.653
0.216,1.881,1.673,3.797,1.647
0.22,1.883,1.679,3.912,1.652
0.224,1.888,1.691,3.837,1.654
0.228,1.934,1.685,3.9,1.675
0.232,1.933,1.701,4.031,1.68
0.236,1.94,1.707,3.876,1.666
0.24,1.938,1.717,4.008,1.689
0.244,1.952,1.693,3.849,1.688
0.248,1.933,1.723,3.832,1.677
0.252,1.986,1.717,3.904,1.683
0.256,1.979,1.717,3.95,1.692
0.26,2.013,1.73,4.002,1.697
0.264,1.953,1.714,3.938,1.684
0.268,2.017,1.742,3.883,1.699
0.272,1.985,1.729,3.767,1.685
0.276,2.005,1.745,4.056,1.682
0.28,2.024,1.735,3.964,1.69
0.284,2.013,1.763,3.841,1.696
0.288,2.01,1.747,3.717,1.699
0.292,2.014,1.772,3.814,1.693
0.296,1.99,1.737,3.774,1.698
0.3,2.018,1.75,3.608,1.703
0.304,2.044,1.744,3.754,1.713
0.308,2.012,1.745,3.627,1.706
0.312,2.024,1.75,3.57,1.692
0.316,2.018,1.751,3.4,1.678
0.32,1.975,1.751,3.364,1.693
0.324,2.064,1.743,3.473,1.674
0.328,2.019,1.758,3.411,1.679
0.332,1.966,1.736,3.378,1.687
0.336,2.013,1.743,3.306,1.662
0.34,1.974,1.726,3.226,1.669
0.344,2,1.743,3.165,1.67
0.348,1.979,1.72,3.047,1.676
0.352,1.966,1.699,3.042,1.656
0.356,1.968,1.734,2.985,1.666
0.36,1.998,1.705,2.902,1.649
0.364,1.953,1.713,2.894,1.652
0.368,1.93,1.691,2.89,1.633
0.372,1.933,1.69,2.875,1.636
0.376,1.916,1.69,2.795,1.631
0.38,1.928,1.704,2.705,1.621
0.384,1.912,1.682,2.664,1.62
0.388,1.881,1.679,2.589,1.617
0.392,1.924,1.645,2.613,1.602
0.396,1.859,1.663,2.478,1.604
0.4,1.876,1.652,2.467,1.6
0.404,1.907,1.631,2.454,1.586
0.408,1.819,1.634,2.38,1.589
0.412,1.836,1.62,2.387,1.578
0.416,1.831,1.615,2.354,1.57
0.42,1.814,1.603,2.297,1.567
0.424,1.796,1.571,2.231,1.559
0.428,1.775,1.57,2.172,1.548
0.432,1.755,1.571,2.134,1.542
0.436,1.761,1.55,2.085,1.537
0.44,1.738,1.542,2.053,1.535
0.444,1.725,1.53,2.042,1.517
0.448,1.732,1.52,2.009,1.518
0.452,1.714,1.516,1.985,1.488
0.456,1.667,1.521,1.95,1.498
0.46,1.665,1.495,1.876,1.483
0.464,1.638,1.495,1.904,1.492
0.468,1.626,1.477,1.891,1.483
0.472,1.622,1.462,1.811,1.463
0.476,1.605,1.467,1.796,1.471
0.48,1.558,1.456,1.74,1.458
0.484,1.589,1.437,1.724,1.452
0.488,1.544,1.422,1.725,1.448
0.492,1.573,1.418,1.672,1.433
0.496,1.541,1.391,1.646,1.43
0.5,1.537,1.382,1.636,1.416
0.504,1.507,1.385,1.569,1.414
0.508,1.511,1.371,1.59,1.402
0.512,1.481,1.375,1.565,1.393
0.516,1.487,1.365,1.535,1.391
0.52,1.436,1.348,1.519,1.383
0.524,1.444,1.308,1.518,1.386
0.528,1.421,1.323,1.503,1.374
0.532,1.412,1.318,1.464,1.369
0.536,1.396,1.303,1.475,1.362
0.54,1.389,1.313,1.479,1.351
0.544,1.37,1.299,1.413,1.339
0.548,1.364,1.287,1.412,1.332
0.552,1.347,1.294,1.407,1.332
0.556,1.325,1.267,1.346,1.324
0.56,1.318,1.249,1.342,1.315
0.564,1.309,1.238,1.325,1.316
0.568,1.318,1.241,1.335,1.313
