Time,Fura_1,Group,Time ,Fura_3,Group,Time ,Fura_4,Group,Time ,Fura_5,Group,Time,Fura_6,Group,Time,Fura_7,Group,Time ,Fura_2,Group
0,0.912,ctrl,0,0.754,ctrl,0,0.895,ctrl,0,0.91,ctrl,0,0.805,ctrl,0,0.88,ctrl,0,0.808,ctrl
0.004,0.918,ctrl,0.004,0.755,ctrl,0.004,0.897,ctrl,0.004,0.912,ctrl,0.004,0.804,ctrl,0.004,0.874,ctrl,0.004,0.806,ctrl
0.008,0.911,ctrl,0.008,0.754,ctrl,0.008,0.897,ctrl,0.008,0.908,ctrl,0.008,0.807,ctrl,0.008,0.875,ctrl,0.008,0.807,ctrl
0.012,0.906,ctrl,0.012,0.753,ctrl,0.012,0.899,ctrl,0.012,0.907,ctrl,0.012,0.8,ctrl,0.012,0.87,ctrl,0.012,0.81,ctrl
0.016,0.913,ctrl,0.016,0.749,ctrl,0.016,0.901,ctrl,0.016,0.905,ctrl,0.016,0.8,ctrl,0.016,0.876,ctrl,0.016,0.809,ctrl
0.02,0.912,ctrl,0.02,0.752,ctrl,0.02,0.892,ctrl,0.02,0.907,ctrl,0.02,0.802,ctrl,0.02,0.872,ctrl,0.02,0.808,ctrl
0.024,0.909,ctrl,0.024,0.749,ctrl,0.024,0.893,ctrl,0.024,0.903,ctrl,0.024,0.798,ctrl,0.024,0.869,ctrl,0.024,0.805,ctrl
0.028,0.906,ctrl,0.028,0.75,ctrl,0.028,0.892,ctrl,0.028,0.901,ctrl,0.028,0.798,ctrl,0.028,0.872,ctrl,0.028,0.806,ctrl
0.032,0.907,ctrl,0.032,0.751,ctrl,0.032,0.897,ctrl,0.032,0.905,ctrl,0.032,0.798,ctrl,0.032,0.865,ctrl,0.032,0.806,ctrl
0.036,0.905,ctrl,0.036,0.753,ctrl,0.036,0.889,ctrl,0.036,0.903,ctrl,0.036,0.794,ctrl,0.036,0.867,ctrl,0.036,0.804,ctrl
0.04,0.901,ctrl,0.04,0.75,ctrl,0.04,0.89,ctrl,0.04,0.906,ctrl,0.04,0.796,ctrl,0.04,0.866,ctrl,0.04,0.806,ctrl
0.044,0.903,ctrl,0.044,0.745,ctrl,0.044,0.886,ctrl,0.044,0.902,ctrl,0.044,0.795,ctrl,0.044,0.866,ctrl,0.044,0.803,ctrl
0.048,0.9,ctrl,0.048,0.749,ctrl,0.048,0.892,ctrl,0.048,0.899,ctrl,0.048,0.795,ctrl,0.048,0.863,ctrl,0.048,0.804,ctrl
0.052,0.894,ctrl,0.052,0.744,ctrl,0.052,0.885,ctrl,0.052,0.902,ctrl,0.052,0.793,ctrl,0.052,0.862,ctrl,0.052,0.806,ctrl
0.056,0.907,ctrl,0.056,0.745,ctrl,0.056,0.885,ctrl,0.056,0.899,ctrl,0.056,0.795,ctrl,0.056,0.859,ctrl,0.056,0.805,ctrl
0.06,0.896,ctrl,0.06,0.744,ctrl,0.06,0.88,ctrl,0.06,0.897,ctrl,0.06,0.793,ctrl,0.06,0.86,ctrl,0.06,0.804,ctrl
0.064,0.902,ctrl,0.064,0.747,ctrl,0.064,0.885,ctrl,0.064,0.895,ctrl,0.064,0.793,ctrl,0.064,0.862,ctrl,0.064,0.804,ctrl
0.068,0.894,ctrl,0.068,0.743,ctrl,0.068,0.892,ctrl,0.068,0.898,ctrl,0.068,0.793,ctrl,0.068,0.858,ctrl,0.068,0.805,ctrl
0.072,0.895,ctrl,0.072,0.743,ctrl,0.072,0.887,ctrl,0.072,0.897,ctrl,0.072,0.786,ctrl,0.072,0.859,ctrl,0.072,0.801,ctrl
0.076,0.898,ctrl,0.076,0.745,ctrl,0.076,0.879,ctrl,0.076,0.894,ctrl,0.076,0.789,ctrl,0.076,0.852,ctrl,0.076,0.801,ctrl
0.08,0.897,ctrl,0.08,0.743,ctrl,0.08,0.887,ctrl,0.08,0.894,ctrl,0.08,0.786,ctrl,0.08,0.854,ctrl,0.08,0.801,ctrl
0.084,0.893,ctrl,0.084,0.74,ctrl,0.084,0.877,ctrl,0.084,0.897,ctrl,0.084,0.79,ctrl,0.084,0.852,ctrl,0.084,0.804,ctrl
0.088,0.889,ctrl,0.088,0.744,ctrl,0.088,0.878,ctrl,0.088,0.895,ctrl,0.088,0.784,ctrl,0.088,0.856,ctrl,0.088,0.8,ctrl
0.092,0.892,ctrl,0.092,0.74,ctrl,0.092,0.879,ctrl,0.092,0.892,ctrl,0.092,0.788,ctrl,0.092,0.855,ctrl,0.092,0.804,ctrl
0.096,0.903,ctrl,0.096,0.739,ctrl,0.096,0.877,ctrl,0.096,0.896,ctrl,0.096,0.784,ctrl,0.096,0.851,ctrl,0.096,0.803,ctrl
0.1,0.907,ctrl,0.1,0.753,ctrl,0.1,0.899,ctrl,0.1,0.895,ctrl,0.1,0.798,ctrl,0.1,0.856,ctrl,0.1,0.804,ctrl
0.104,0.927,ctrl,0.104,0.767,ctrl,0.104,0.94,ctrl,0.104,0.901,ctrl,0.104,0.818,ctrl,0.104,0.869,ctrl,0.104,0.809,ctrl
0.108,0.956,ctrl,0.108,0.783,ctrl,0.108,0.977,ctrl,0.108,0.91,ctrl,0.108,0.844,ctrl,0.108,0.883,ctrl,0.108,0.817,ctrl
0.112,0.984,ctrl,0.112,0.794,ctrl,0.112,1.004,ctrl,0.112,0.94,ctrl,0.112,0.858,ctrl,0.112,0.902,ctrl,0.112,0.821,ctrl
0.116,1.022,ctrl,0.116,0.806,ctrl,0.116,1.036,ctrl,0.116,0.963,ctrl,0.116,0.871,ctrl,0.116,0.916,ctrl,0.116,0.824,ctrl
0.12,1.03,ctrl,0.12,0.812,ctrl,0.12,1.052,ctrl,0.12,0.98,ctrl,0.12,0.891,ctrl,0.12,0.919,ctrl,0.12,0.834,ctrl
0.124,1.057,ctrl,0.124,0.822,ctrl,0.124,1.068,ctrl,0.124,1,ctrl,0.124,0.897,ctrl,0.124,0.931,ctrl,0.124,0.841,ctrl
0.128,1.064,ctrl,0.128,0.828,ctrl,0.128,1.083,ctrl,0.128,1.005,ctrl,0.128,0.903,ctrl,0.128,0.94,ctrl,0.128,0.85,ctrl
0.132,1.08,ctrl,0.132,0.832,ctrl,0.132,1.101,ctrl,0.132,1.02,ctrl,0.132,0.905,ctrl,0.132,0.944,ctrl,0.132,0.863,ctrl
0.136,1.098,ctrl,0.136,0.835,ctrl,0.136,1.113,ctrl,0.136,1.028,ctrl,0.136,0.91,ctrl,0.136,0.949,ctrl,0.136,0.873,ctrl
0.14,1.113,ctrl,0.14,0.84,ctrl,0.14,1.123,ctrl,0.14,1.034,ctrl,0.14,0.922,ctrl,0.14,0.949,ctrl,0.14,0.88,ctrl
0.144,1.124,ctrl,0.144,0.845,ctrl,0.144,1.133,ctrl,0.144,1.048,ctrl,0.144,0.932,ctrl,0.144,0.958,ctrl,0.144,0.881,ctrl
0.148,1.132,ctrl,0.148,0.85,ctrl,0.148,1.144,ctrl,0.148,1.053,ctrl,0.148,0.929,ctrl,0.148,0.965,ctrl,0.148,0.886,ctrl
0.152,1.143,ctrl,0.152,0.854,ctrl,0.152,1.152,ctrl,0.152,1.065,ctrl,0.152,0.936,ctrl,0.152,0.964,ctrl,0.152,0.889,ctrl
0.156,1.163,ctrl,0.156,0.855,ctrl,0.156,1.158,ctrl,0.156,1.063,ctrl,0.156,0.939,ctrl,0.156,0.971,ctrl,0.156,0.895,ctrl
0.16,1.165,ctrl,0.16,0.856,ctrl,0.16,1.165,ctrl,0.16,1.076,ctrl,0.16,0.947,ctrl,0.16,0.979,ctrl,0.16,0.895,ctrl
0.164,1.178,ctrl,0.164,0.86,ctrl,0.164,1.172,ctrl,0.164,1.082,ctrl,0.164,0.949,ctrl,0.164,0.984,ctrl,0.164,0.901,ctrl
0.168,1.19,ctrl,0.168,0.862,ctrl,0.168,1.185,ctrl,0.168,1.081,ctrl,0.168,0.95,ctrl,0.168,0.981,ctrl,0.168,0.904,ctrl
0.172,1.195,ctrl,0.172,0.865,ctrl,0.172,1.19,ctrl,0.172,1.087,ctrl,0.172,0.958,ctrl,0.172,0.981,ctrl,0.172,0.902,ctrl
0.176,1.208,ctrl,0.176,0.865,ctrl,0.176,1.199,ctrl,0.176,1.1,ctrl,0.176,0.957,ctrl,0.176,0.99,ctrl,0.176,0.908,ctrl
0.18,1.214,ctrl,0.18,0.871,ctrl,0.18,1.21,ctrl,0.18,1.103,ctrl,0.18,0.966,ctrl,0.18,0.99,ctrl,0.18,0.909,ctrl
0.184,1.219,ctrl,0.184,0.871,ctrl,0.184,1.213,ctrl,0.184,1.104,ctrl,0.184,0.963,ctrl,0.184,0.995,ctrl,0.184,0.91,ctrl
0.188,1.222,ctrl,0.188,0.87,ctrl,0.188,1.206,ctrl,0.188,1.11,ctrl,0.188,0.971,ctrl,0.188,1.001,ctrl,0.188,0.91,ctrl
0.192,1.234,ctrl,0.192,0.874,ctrl,0.192,1.227,ctrl,0.192,1.113,ctrl,0.192,0.975,ctrl,0.192,0.996,ctrl,0.192,0.914,ctrl
