Time,Fura_10,Group,Time,Fura_11,Group,Time,Fura_12,Group,Time,Fura_13,Group,Time,Fura_14,Group,Time,Fura_15,Group,Time,Fura_17,Group
0,1.109,ank,0,1.043,ank,0,0.937,ank,0,1.051,ank,0,1.149,ank,0,1.03,ank,0,1.081,ank
0.004,1.112,ank,0.004,1.048,ank,0.004,0.942,ank,0.004,1.053,ank,0.004,1.145,ank,0.004,1.026,ank,0.004,1.079,ank
0.008,1.1,ank,0.008,1.046,ank,0.008,0.94,ank,0.008,1.045,ank,0.008,1.152,ank,0.008,1.028,ank,0.008,1.073,ank
0.012,1.114,ank,0.012,1.044,ank,0.012,0.939,ank,0.012,1.044,ank,0.012,1.15,ank,0.012,1.031,ank,0.012,1.078,ank
0.016,1.116,ank,0.016,1.042,ank,0.016,0.934,ank,0.016,1.055,ank,0.016,1.147,ank,0.016,1.018,ank,0.016,1.074,ank
0.02,1.114,ank,0.02,1.039,ank,0.02,0.935,ank,0.02,1.04,ank,0.02,1.139,ank,0.02,1.024,ank,0.02,1.082,ank
0.024,1.106,ank,0.024,1.039,ank,0.024,0.936,ank,0.024,1.048,ank,0.024,1.151,ank,0.024,1.023,ank,0.024,1.075,ank
0.028,1.107,ank,0.028,1.034,ank,0.028,0.934,ank,0.028,1.045,ank,0.028,1.138,ank,0.028,1.021,ank,0.028,1.076,ank
0.032,1.104,ank,0.032,1.038,ank,0.032,0.931,ank,0.032,1.042,ank,0.032,1.142,ank,0.032,1.023,ank,0.032,1.077,ank
0.036,1.097,ank,0.036,1.032,ank,0.036,0.934,ank,0.036,1.045,ank,0.036,1.131,ank,0.036,1.023,ank,0.036,1.075,ank
0.04,1.109,ank,0.04,1.039,ank,0.04,0.939,ank,0.04,1.043,ank,0.04,1.143,ank,0.04,1.025,ank,0.04,1.073,ank
0.044,1.113,ank,0.044,1.04,ank,0.044,0.935,ank,0.044,1.043,ank,0.044,1.142,ank,0.044,1.024,ank,0.044,1.074,ank
0.048,1.097,ank,0.048,1.03,ank,0.048,0.932,ank,0.048,1.032,ank,0.048,1.139,ank,0.048,1.018,ank,0.048,1.069,ank
0.052,1.103,ank,0.052,1.03,ank,0.052,0.931,ank,0.052,1.032,ank,0.052,1.137,ank,0.052,1.021,ank,0.052,1.076,ank
