Time,Group,Fura_ID,Intracellular_Calcium
0.0,ctrl,Fura_1,0.912
0.004,ctrl,Fura_1,0.918
0.008,ctrl,Fura_1,0.911
0.012,ctrl,Fura_1,0.906
0.016,ctrl,Fura_1,0.913
0.02,ctrl,Fura_1,0.912
0.024,ctrl,Fura_1,0.909
0.028,ctrl,Fura_1,0.906
0.032,ctrl,Fura_1,0.907
0.036,ctrl,Fura_1,0.905
0.04,ctrl,Fura_1,0.901
0.044,ctrl,Fura_1,0.903
0.048,ctrl,Fura_1,0.9
0.052,ctrl,Fura_1,0.894
0.056,ctrl,Fura_1,0.907
0.06,ctrl,Fura_1,0.896
0.064,ctrl,Fura_1,0.902
0.068,ctrl,Fura_1,0.894
0.072,ctrl,Fura_1,0.895
0.076,ctrl,Fura_1,0.898
0.08,ctrl,Fura_1,0.897
0.084,ctrl,Fura_1,0.893
0.088,ctrl,Fura_1,0.889
0.092,ctrl,Fura_1,0.892
0.096,ctrl,Fura_1,0.903
0.1,ctrl,Fura_1,0.907
0.104,ctrl,Fura_1,0.927
0.108,ctrl,Fura_1,0.956
0.112,ctrl,Fura_1,0.984
0.116,ctrl,Fura_1,1.022
0.12,ctrl,Fura_1,1.03
0.124,ctrl,Fura_1,1.057
0.128,ctrl,Fura_1,1.064
0.132,ctrl,Fura_1,1.08
0.136,ctrl,Fura_1,1.098
0.14,ctrl,Fura_1,1.113
0.144,ctrl,Fura_1,1.124
0.148,ctrl,Fura_1,1.132
0.152,ctrl,Fura_1,1.143
0.156,ctrl,Fura_1,1.163
0.16,ctrl,Fura_1,1.165
0.164,ctrl,Fura_1,1.178
0.168,ctrl,Fura_1,1.19
0.172,ctrl,Fura_1,1.195
0.176,ctrl,Fura_1,1.208
0.18,ctrl,Fura_1,1.214
0.184,ctrl,Fura_1,1.219
0.188,ctrl,Fura_1,1.222
0.192,ctrl,Fura_1,1.234
0.196,ctrl,Fura_1,1.235
0.2,ctrl,Fura_1,1.243
0.204,ctrl,Fura_1,1.253
0.208,ctrl,Fura_1,1.258
0.212,ctrl,Fura_1,1.262
0.216,ctrl,Fura_1,1.277
0.22,ctrl,Fura_1,1.284
0.224,ctrl,Fura_1,1.282
0.228,ctrl,Fura_1,1.289
0.232,ctrl,Fura_1,1.294
0.236,ctrl,Fura_1,1.301
0.24,ctrl,Fura_1,1.306
0.244,ctrl,Fura_1,1.313
0.248,ctrl,Fura_1,1.305
0.252,ctrl,Fura_1,1.311
0.256,ctrl,Fura_1,1.323
0.26,ctrl,Fura_1,1.322
0.264,ctrl,Fura_1,1.343
0.268,ctrl,Fura_1,1.33
0.272,ctrl,Fura_1,1.335
0.276,ctrl,Fura_1,1.335
0.28,ctrl,Fura_1,1.343
0.284,ctrl,Fura_1,1.338
0.288,ctrl,Fura_1,1.344
0.292,ctrl,Fura_1,1.347
0.296,ctrl,Fura_1,1.341
0.3,ctrl,Fura_1,1.349
0.304,ctrl,Fura_1,1.351
0.308,ctrl,Fura_1,1.367
0.312,ctrl,Fura_1,1.362
0.316,ctrl,Fura_1,1.367
0.32,ctrl,Fura_1,1.371
0.324,ctrl,Fura_1,1.35
0.328,ctrl,Fura_1,1.359
0.332,ctrl,Fura_1,1.361
0.336,ctrl,Fura_1,1.37
0.34,ctrl,Fura_1,1.355
0.344,ctrl,Fura_1,1.363
0.348,ctrl,Fura_1,1.362
0.352,ctrl,Fura_1,1.355
0.356,ctrl,Fura_1,1.364
0.36,ctrl,Fura_1,1.361
0.364,ctrl,Fura_1,1.355
0.368,ctrl,Fura_1,1.358
0.372,ctrl,Fura_1,1.346
0.376,ctrl,Fura_1,1.352
0.38,ctrl,Fura_1,1.348
0.384,ctrl,Fura_1,1.349
0.388,ctrl,Fura_1,1.351
0.392,ctrl,Fura_1,1.345
