Time,Channel 1,Channel 2,Channel 3
0,-0.47,NaN,-0.006
0.001,-0.47,NaN,-0.005
0.002,-1.09,NaN,-0.007
0.003,-1.72,NaN,-0.007
0.004,-2.81,NaN,-0.010
0.005,-2.66,NaN,-0.013
0.006,-2.03,NaN,-0.015
0.007,-2.34,NaN,-0.017
0.008,-1.88,NaN,-0.020
0.009,0.00,NaN,-0.021
0.01,0.47,NaN,-0.020
0.011,0.78,NaN,-0.020
0.012,3.44,NaN,-0.018
0.013,4.06,NaN,-0.013
0.014,2.66,NaN,-0.010
0.015,3.44,NaN,-0.008
0.016,2.50,NaN,-0.003
0.017,0.63,NaN,-0.003
0.018,-0.16,0.0169,-0.002
0.019,-1.56,0.0169,-0.003
0.02,-2.50,0.0169,-0.005
0.021,-2.66,0.0169,-0.008
0.022,-2.34,0.0169,-0.011
0.023,-2.97,0.0169,-0.013
0.024,-2.03,0.0169,-0.017
0.025,-0.63,0.0169,-0.017
0.026,-0.47,0.0169,-0.018
0.027,0.47,0.0169,-0.018
0.028,2.03,0.0169,-0.017
0.029,2.97,0.0169,-0.014
0.03,3.59,0.0169,-0.011
0.031,3.75,0.0169,-0.007
0.032,2.81,0.0169,-0.003
0.033,1.72,0.0169,-0.001
0.034,0.16,0.0170,0.000
0.035,-0.78,0.0172,-0.001
0.036,-1.56,0.0172,-0.002
0.037,-2.03,0.0172,-0.004
0.038,-2.81,0.0172,-0.006
0.039,-2.81,0.0172,-0.009
0.04,-2.34,0.0172,-0.011
0.041,-2.81,0.0172,-0.014
0.042,-1.41,0.0172,-0.017
0.043,0.31,0.0172,-0.017
0.044,0.94,0.0172,-0.016
0.045,2.66,0.0172,-0.015
0.046,3.12,0.0172,-0.011
0.047,2.50,0.0172,-0.009
0.048,3.75,0.0172,-0.006
0.049,3.12,0.0172,-0.001
0.05,0.94,0.0172,0.000
0.051,-0.63,0.0176,0.001
0.052,-0.78,0.0184,-0.001
0.053,-1.72,0.0184,-0.001
0.054,-3.59,0.0184,-0.004
0.055,-3.12,0.0184,-0.008
0.056,-3.28,0.0184,-0.011
0.057,-3.28,0.0184,-0.015
0.058,-1.56,0.0184,-0.017
0.059,0.00,0.0184,-0.018
0.06,1.09,0.0184,-0.017
0.061,1.88,0.0184,-0.016
0.062,2.66,0.0184,-0.013
0.063,3.44,0.0184,-0.010
0.064,3.59,0.0184,-0.007
0.065,3.12,0.0184,-0.003
0.066,2.66,0.0184,-0.000
0.067,1.25,0.0189,0.002
0.068,-1.09,0.0197,0.002
0.069,-2.66,0.0197,0.000
0.07,-2.50,0.0197,-0.003
0.071,-3.13,0.0197,-0.005
0.072,-3.28,0.0197,-0.009
0.073,-2.19,0.0197,-0.012
0.074,-2.03,0.0197,-0.014
0.075,-1.56,0.0197,-0.016
0.076,-0.94,0.0197,-0.017
0.077,0.16,0.0197,-0.018
0.078,1.56,0.0197,-0.017
0.079,3.44,0.0197,-0.014
0.08,3.59,0.0197,-0.010
0.081,2.34,0.0197,-0.007
0.082,2.66,0.0197,-0.005
0.083,2.97,0.0197,-0.002
0.084,0.78,0.0195,0.001
0.085,-0.94,0.0191,-0.000
0.086,-1.25,0.0191,-0.001
0.087,-2.97,0.0191,-0.003
0.088,-3.28,0.0191,-0.007
0.089,-2.66,0.0191,-0.009
0.09,-2.97,0.0191,-0.012
0.091,-2.66,0.0191,-0.015
0.092,-0.78,0.0191,-0.018
0.093,0.63,0.0191,-0.017
0.094,1.72,0.0191,-0.016
0.095,2.81,0.0191,-0.013
0.096,3.28,0.0191,-0.011
0.097,3.28,0.0191,-0.007
0.098,3.28,0.0191,-0.004
0.099,2.81,0.0191,-0.000
0.1,1.09,0.0191,0.002
0.101,-0.31,0.0181,0.002
0.102,-0.78,0.0162,0.001
0.103,-1.72,0.0162,0.000
0.104,-2.97,0.0162,-0.003
0.105,-3.44,0.0162,-0.006
0.106,-3.28,0.0162,-0.009
0.107,-2.19,0.0162,-0.012
0.108,-1.09,0.0162,-0.014
0.109,-0.16,0.0162,-0.014
0.11,1.41,0.0162,-0.014
0.111,1.72,0.0162,-0.012
0.112,1.72,0.0162,-0.011
0.113,2.81,0.0162,-0.008
0.114,2.97,0.0162,-0.005
0.115,2.81,0.0162,-0.002
0.116,2.19,0.0162,0.001
0.117,0.78,0.0165,0.002
0.118,-0.78,0.0169,0.002
0.119,-1.25,0.0169,0.001
0.12,-1.25,0.0169,-0.000
0.121,-2.97,0.0169,-0.002
0.122,-3.12,0.0169,-0.006
0.123,-2.19,0.0169,-0.008
0.124,-2.50,0.0169,-0.011
0.125,-2.03,0.0169,-0.013
0.126,-0.31,0.0169,-0.015
0.127,0.62,0.0169,-0.014
0.128,1.25,0.0169,-0.013
0.129,3.12,0.0169,-0.011
0.13,3.75,0.0169,-0.007
0.131,2.97,0.0169,-0.004
0.132,2.50,0.0169,-0.001
0.133,1.72,0.0169,0.001
0.134,0.31,0.0166,0.002
0.135,-0.31,0.0159,0.002
0.136,-1.41,0.0159,0.002
0.137,-2.97,0.0159,-0.001
0.138,-3.44,0.0159,-0.004
0.139,-2.19,0.0159,-0.008
0.14,-2.03,0.0159,-0.009
0.141,-2.03,0.0159,-0.012
0.142,-0.78,0.0159,-0.013
0.143,-0.31,0.0159,-0.013
0.144,1.25,0.0159,-0.013
0.145,3.12,0.0159,-0.011
0.146,2.81,0.0159,-0.007
0.147,2.97,0.0159,-0.005
0.148,3.12,0.0159,-0.001
0.149,1.87,0.0159,0.001
0.15,1.88,0.0159,0.003
0.151,0.78,0.0170,0.005
0.152,-1.72,0.0191,0.004
0.153,-2.19,0.0191,0.001
0.154,-2.19,0.0191,-0.000
0.155,-3.28,0.0191,-0.003
0.156,-3.59,0.0191,-0.007
0.157,-2.19,0.0191,-0.010
0.158,-2.03,0.0191,-0.011
0.159,-1.56,0.0191,-0.014
0.16,0.78,0.0191,-0.014
0.161,1.88,0.0191,-0.013
0.162,3.44,0.0191,-0.011
0.163,4.22,0.0191,-0.006
0.164,2.66,0.0191,-0.002
0.165,2.19,0.0191,-0.001
0.166,2.19,0.0191,0.002
0.167,0.78,0.0196,0.004
0.168,-0.63,0.0206,0.004
0.169,-0.94,0.0206,0.003
0.17,-2.03,0.0206,0.002
0.171,-3.59,0.0206,-0.002
0.172,-3.75,0.0206,-0.005
0.173,-4.37,0.0206,-0.009
0.174,-2.97,0.0206,-0.014
0.175,-1.41,0.0206,-0.015
0.176,0.00,0.0206,-0.017
0.177,1.72,0.0206,-0.015
0.178,2.66,0.0206,-0.013
0.179,2.97,0.0206,-0.010
0.18,2.66,0.0206,-0.007
0.181,2.81,0.0206,-0.004
0.182,2.50,0.0206,-0.002
0.183,1.72,0.0206,0.001
0.184,0.47,0.0198,0.002
0.185,-0.78,0.0181,0.002
0.186,-1.56,0.0181,0.000
0.187,-1.72,0.0181,-0.002
0.188,-3.12,0.0181,-0.003
0.189,-3.75,0.0181,-0.008
0.19,-2.34,0.0181,-0.011
0.191,-2.03,0.0181,-0.013
0.192,-1.25,0.0181,-0.015
0.193,0.78,0.0181,-0.015
0.194,1.87,0.0181,-0.013
0.195,1.41,0.0181,-0.011
0.196,2.97,0.0181,-0.011
0.197,5.31,0.0181,-0.005
0.198,3.75,0.0181,0.000
0.199,1.56,0.0181,0.002
0.2,1.09,0.0181,0.003
0.201,0.31,0.0178,0.004
0.202,-0.94,0.0172,0.004
0.203,-1.56,0.0172,0.003
0.204,-2.97,0.0172,0.001
0.205,-3.12,0.0172,-0.003
0.206,-2.66,0.0172,-0.006
0.207,-2.81,0.0172,-0.009
0.208,-2.03,0.0172,-0.011
0.209,-0.16,0.0172,-0.013
0.21,0.47,0.0172,-0.012
0.211,0.94,0.0172,-0.012
0.212,2.66,0.0172,-0.010
0.213,2.66,0.0172,-0.007
0.214,2.97,0.0172,-0.004
0.215,3.28,0.0172,-0.001
0.216,2.50,0.0172,0.002
0.217,0.94,0.0180,0.004
0.218,-0.94,0.0197,0.004
0.219,-2.03,0.0197,0.003
0.22,-2.34,0.0197,0.000
0.221,-2.50,0.0197,-0.002
0.222,-3.13,0.0197,-0.005
0.223,-3.28,0.0197,-0.008
0.224,-2.66,0.0197,-0.012
0.225,-1.56,0.0197,-0.014
0.226,-0.78,0.0197,-0.015
0.227,0.78,0.0197,-0.015
0.228,2.50,0.0197,-0.013
0.229,3.28,0.0197,-0.010
0.23,3.59,0.0197,-0.007
0.231,3.28,0.0197,-0.003
0.232,2.34,0.0197,0.000
0.233,1.41,0.0197,0.002
0.234,0.63,0.0195,0.003
0.235,-1.25,0.0191,0.003
0.236,-1.87,0.0191,0.000
0.237,-2.03,0.0191,-0.001
0.238,-3.12,0.0191,-0.004
0.239,-3.12,0.0191,-0.007
0.24,-2.81,0.0191,-0.010
0.241,-2.34,0.0191,-0.013
0.242,-1.72,0.0191,-0.015
0.243,0.62,0.0191,-0.016
0.244,2.50,0.0191,-0.013
0.245,2.19,0.0191,-0.011
0.246,3.28,0.0191,-0.009
0.247,2.34,0.0191,-0.005
0.248,1.88,0.0191,-0.004
0.249,3.12,0.0191,-0.001
0.25,1.87,0.0191,0.002
0.251,0.63,0.0191,0.003
0.252,-0.16,0.0183,0.003
0.253,-1.87,0.0169,0.003
0.254,-3.12,0.0169,-0.001
0.255,-2.50,0.0169,-0.004
0.256,-2.66,0.0169,-0.006
0.257,-3.12,0.0169,-0.009
0.258,-2.03,0.0169,-0.012
0.259,-0.94,0.0169,-0.013
0.26,0.62,0.0169,-0.014
0.261,2.34,0.0169,-0.012
0.262,2.81,0.0169,-0.009
0.263,2.81,0.0169,-0.006
0.264,2.34,0.0169,-0.003
0.265,2.81,0.0169,-0.002
0.266,2.34,0.0169,0.002
0.267,0.78,0.0169,0.003
0.268,0.31,0.0176,0.004
0.269,-0.94,0.0191,0.004
0.27,-2.50,0.0191,0.002
0.271,-2.81,0.0191,-0.001
0.272,-3.75,0.0191,-0.004
0.273,-3.28,0.0191,-0.009
0.274,-2.81,0.0191,-0.010
0.275,-2.50,0.0191,-0.014
0.276,0.47,0.0191,-0.015
0.277,1.88,0.0191,-0.013
0.278,1.25,0.0191,-0.012
0.279,2.19,0.0191,-0.011
0.28,3.44,0.0191,-0.007
0.281,2.19,0.0191,-0.004
0.282,1.72,0.0191,-0.003
0.283,2.50,0.0191,-0.001
0.284,0.94,0.0194,0.002
0.285,-1.41,0.0200,0.001
0.286,-2.03,0.0200,-0.001
0.287,-2.97,0.0200,-0.003
0.288,-3.75,0.0200,-0.007
0.289,-3.12,0.0200,-0.010
0.29,-2.66,0.0200,-0.013
0.291,-1.87,0.0200,-0.016
0.292,-0.31,0.0200,-0.017
0.293,0.78,0.0200,-0.016
0.294,1.72,0.0200,-0.015
0.295,3.44,0.0200,-0.013
0.296,4.06,0.0200,-0.008
0.297,2.81,0.0200,-0.005
0.298,2.34,0.0200,-0.003
0.299,2.97,0.0200,0.000
0.3,1.72,0.0200,0.003
0.301,0.16,0.0200,0.003
0.302,-0.63,0.0193,0.004
0.303,-1.87,0.0178,0.002
0.304,-2.81,0.0178,0.000
0.305,-3.44,0.0178,-0.003
0.306,-3.91,0.0178,-0.007
0.307,-2.97,0.0178,-0.011
0.308,-1.41,0.0178,-0.013
0.309,-0.62,0.0178,-0.014
0.31,1.09,0.0178,-0.014
0.311,2.50,0.0178,-0.012
0.312,2.50,0.0178,-0.009
0.313,2.81,0.0178,-0.007
0.314,3.28,0.0178,-0.003
0.315,2.50,0.0178,-0.000
0.316,1.41,0.0178,0.002
0.317,1.09,0.0178,0.003
0.318,0.16,0.0185,0.004
0.319,-2.19,0.0200,0.003
0.32,-2.66,0.0200,-0.001
0.321,-2.50,0.0200,-0.003
0.322,-3.59,0.0200,-0.006
0.323,-3.28,0.0200,-0.010
0.324,-2.19,0.0200,-0.012
0.325,-2.03,0.0200,-0.014
0.326,-0.63,0.0200,-0.016
0.327,0.94,0.0200,-0.015
0.328,1.56,0.0200,-0.014
0.329,3.28,0.0200,-0.012
0.33,3.44,0.0200,-0.008
0.331,2.81,0.0200,-0.005
0.332,3.44,0.0200,-0.002
0.333,2.50,0.0200,0.002
0.334,0.31,0.0193,0.003
0.335,-0.31,0.0178,0.002
0.336,-1.41,0.0178,0.002
0.337,-3.28,0.0178,-0.001
0.338,-3.44,0.0178,-0.004
0.339,-3.12,0.0178,-0.007
0.34,-3.12,0.0178,-0.011
0.341,-2.03,0.0178,-0.014
0.342,-0.47,0.0178,-0.015
