Time,Channel 1,Channel 2,Channel 3
0,72.19,NaN,-0.082
0.001,72.19,NaN,0.011
0.002,94.06,NaN,0.063
0.003,89.22,NaN,0.199
0.004,8.91,0.0247,0.241
0.005,20.78,0.0247,0.217
0.006,11.25,0.2195,0.283
0.007,-68.91,0.6091,0.239
0.008,-70.63,0.6091,0.145
0.009,-88.91,0.6091,0.098
0.01,-132.66,0.6091,-0.033
0.011,-83.28,0.6091,-0.168
0.012,-52.19,0.6091,-0.199
0.013,-63.44,0.6091,-0.272
0.014,19.37,0.6091,-0.326
0.015,95.78,0.6091,-0.233
0.016,72.50,0.6091,-0.135
0.017,85.00,0.6091,-0.088
0.018,121.56,0.6091,0.035
0.019,67.97,0.6091,0.155
0.02,41.72,0.6091,0.171
0.021,63.91,0.6091,0.238
0.022,5.94,0.6097,0.299
0.023,-49.22,0.6109,0.250
0.024,-22.34,0.6109,0.201
0.025,-92.50,0.6109,0.206
0.026,-146.87,0.6109,0.016
0.027,-70.47,0.6109,-0.088
0.028,-69.22,0.6109,-0.125
0.029,-93.28,0.6109,-0.227
0.03,-7.50,0.6109,-0.312
0.031,43.12,0.6109,-0.242
0.032,25.78,0.6109,-0.226
0.033,104.84,0.6109,-0.190
0.034,133.28,0.6109,-0.016
0.035,52.50,0.6109,0.077
0.036,87.03,0.6109,0.089
0.037,90.94,0.6109,0.251
0.038,-10.00,0.4207,0.271
0.039,-2.34,0.0403,0.231
0.04,-5.47,0.2119,0.266
0.041,-100.63,0.5550,0.220
0.042,-107.34,0.5550,0.065
0.043,-76.09,0.5550,0.005
0.044,-120.62,0.5550,-0.087
0.045,-79.06,0.5550,-0.236
0.046,-6.72,0.5550,-0.245
0.047,-21.72,0.5550,-0.250
0.048,20.31,0.5550,-0.289
0.049,92.19,0.5550,-0.209
0.05,90.16,0.5550,-0.104
0.051,90.62,0.5550,-0.029
0.052,105.94,0.5550,0.077
0.053,62.66,0.5550,0.183
0.054,24.84,0.5550,0.202
0.055,42.34,0.5550,0.233
0.056,-7.66,0.5810,0.287
0.057,-69.69,0.6331,0.218
0.058,-56.87,0.6331,0.147
0.059,-106.56,0.6331,0.104
0.06,-136.56,0.6331,-0.066
0.061,-59.22,0.6331,-0.169
0.062,-51.25,0.6331,-0.184
0.063,-81.09,0.6331,-0.272
0.064,8.91,0.6331,-0.346
0.065,81.72,0.6331,-0.254
0.066,61.72,0.6331,-0.183
0.067,113.28,0.6331,-0.131
0.068,121.87,0.6331,0.044
0.069,50.47,0.6331,0.113
0.07,76.09,0.6331,0.145
0.071,69.22,0.6331,0.265
0.072,-24.22,0.4442,0.283
0.073,-17.19,0.0663,0.217
0.074,-24.84,0.2341,0.249
0.075,-139.22,0.5697,0.167
0.076,-124.22,0.5697,-0.030
0.077,-64.06,0.5697,-0.081
0.078,-117.50,0.5697,-0.158
0.079,-77.19,0.5697,-0.316
0.08,35.94,0.5697,-0.312
0.081,42.50,0.5697,-0.244
0.082,36.72,0.5697,-0.227
0.083,102.34,0.5697,-0.171
0.084,107.19,0.5697,-0.022
0.085,69.53,0.5697,0.043
0.086,105.00,0.5697,0.117
0.087,66.72,0.5697,0.253
0.088,-4.37,0.5697,0.250
0.089,14.22,0.5697,0.245
0.09,-26.87,0.5720,0.278
0.091,-103.75,0.5766,0.191
0.092,-87.03,0.5766,0.071
0.093,-84.53,0.5766,0.017
0.094,-126.88,0.5766,-0.098
0.095,-67.81,0.5766,-0.237
0.096,-20.00,0.5766,-0.234
0.097,-32.19,0.5766,-0.277
0.098,54.37,0.5766,-0.298
0.099,98.12,0.5766,-0.168
0.1,65.16,0.5766,-0.102
0.101,108.28,0.5766,-0.038
0.102,115.94,0.5766,0.115
0.103,38.28,0.5766,0.194
0.104,23.59,0.5766,0.191
0.105,37.50,0.5766,0.241
0.106,-17.19,0.5788,0.266
0.107,-48.75,0.5831,0.207
0.108,-58.91,0.5831,0.169
0.109,-122.66,0.5831,0.089
0.11,-124.69,0.5831,-0.077
0.111,-62.81,0.5831,-0.160
0.112,-78.28,0.5831,-0.202
0.113,-56.72,0.5831,-0.317
0.114,51.72,0.5831,-0.316
0.115,69.69,0.5831,-0.213
0.116,58.59,0.5831,-0.176
0.117,124.38,0.5831,-0.096
0.118,98.28,0.5831,0.072
0.119,30.16,0.5831,0.100
0.12,85.78,0.5831,0.133
0.121,62.03,0.4031,0.272
0.122,-21.56,0.0431,0.257
0.123,0.94,0.0431,0.229
0.124,-40.00,0.2133,0.259
0.125,-135.31,0.5537,0.149
0.126,-112.50,0.5537,-0.012
0.127,-80.00,0.5537,-0.076
0.128,-109.37,0.5537,-0.172
0.129,-51.72,0.5537,-0.295
0.13,12.81,0.5537,-0.275
0.131,0.31,0.5537,-0.269
0.132,55.47,0.5537,-0.275
0.133,118.75,0.5537,-0.158
0.134,90.47,0.5537,-0.037
0.135,88.44,0.5537,0.022
0.136,112.50,0.5537,0.140
0.137,45.47,0.3748,0.248
0.138,11.72,0.0169,0.231
0.139,19.22,0.2059,0.271
0.14,-50.78,0.5841,0.269
0.141,-96.09,0.5841,0.169
0.142,-88.75,0.5841,0.077
0.143,-114.06,0.5841,-0.008
0.144,-110.00,0.5841,-0.151
0.145,-49.84,0.5841,-0.228
0.146,-37.50,0.5841,-0.251
0.147,-31.09,0.5841,-0.303
0.148,61.56,0.5841,-0.313
0.149,88.75,0.5841,-0.180
0.15,58.75,0.5841,-0.136
0.151,129.22,0.5841,-0.063
0.152,132.34,0.5841,0.123
0.153,54.22,0.5841,0.202
0.154,48.28,0.5841,0.231
0.155,20.00,0.4240,0.299
0.156,-51.88,0.1038,0.271
0.157,-32.50,0.1038,0.195
0.158,-54.53,0.2434,0.206
0.159,-128.44,0.5228,0.086
0.16,-91.72,0.5228,-0.051
0.161,-75.00,0.5228,-0.098
0.162,-109.53,0.5228,-0.201
0.163,-42.03,0.5228,-0.317
0.164,49.06,0.5228,-0.285
0.165,48.75,0.5228,-0.218
0.166,78.12,0.5228,-0.187
0.167,106.41,0.5228,-0.062
0.168,67.34,0.5228,0.026
0.169,73.91,0.5228,0.072
0.17,92.50,0.5228,0.173
0.171,36.25,0.3628,0.258
0.172,-21.41,0.0428,0.246
0.173,4.53,0.0428,0.215
0.174,-41.41,0.2080,0.255
0.175,-127.34,0.5384,0.132
0.176,-95.00,0.5384,0.000
0.177,-91.88,0.5384,-0.058
0.178,-112.66,0.5384,-0.183
0.179,-28.75,0.5384,-0.283
0.18,9.84,0.5046,-0.241
0.181,-7.19,0.4369,-0.264
0.182,76.25,0.4369,-0.255
0.183,103.44,0.4369,-0.111
0.184,60.31,0.4369,-0.048
0.185,110.78,0.4369,0.009
0.186,103.44,0.4369,0.173
0.187,13.75,0.3220,0.216
0.188,38.28,0.0922,0.201
0.189,46.87,0.0922,0.293
0.19,-62.81,0.2651,0.294
0.191,-84.84,0.6109,0.167
0.192,-77.81,0.6109,0.125
0.193,-129.53,0.6109,0.012
0.194,-105.78,0.6109,-0.134
0.195,-50.31,0.6109,-0.200
0.196,-58.28,0.6109,-0.235
0.197,-20.16,0.6109,-0.317
0.198,77.50,0.6109,-0.275
0.199,63.44,0.6109,-0.162
0.2,74.84,0.6109,-0.148
0.201,143.59,0.6109,-0.012
0.202,77.66,0.6109,0.139
0.203,33.59,0.6109,0.143
0.204,73.13,0.6109,0.206
0.205,22.66,0.4327,0.290
0.206,-38.13,0.0763,0.251
0.207,-11.41,0.0763,0.213
0.208,-77.19,0.2348,0.228
0.209,-162.34,0.5519,0.059
0.21,-90.31,0.5519,-0.096
