Time,Channel 1,Channel 2,Channel 3
0.002,60.16,NaN,0.192
0.003,46.25,0.6247,0.298
0.004,-50.47,0.6247,0.284
0.005,-56.56,0.6247,0.198
0.006,-61.72,0.6247,0.171
0.007,-137.19,0.6247,0.074
0.008,-111.72,0.6247,-0.103
0.009,-63.44,0.6247,-0.149
0.01,-88.44,0.6247,-0.230
0.011,-27.50,0.6247,-0.326
0.012,68.91,0.6247,-0.285
0.013,53.28,0.6247,-0.188
0.014,65.94,0.6247,-0.178
0.015,118.75,0.6247,-0.057
0.016,69.22,0.6247,0.059
0.017,65.62,0.6247,0.082
0.018,100.47,0.6247,0.190
0.019,31.41,0.4386,0.283
0.02,-33.28,0.0666,0.253
0.021,-1.09,0.0666,0.216
0.022,-51.41,0.2301,0.251
0.023,-129.06,0.5572,0.113
0.024,-84.53,0.5572,-0.007
0.025,-96.72,0.5572,-0.056
0.026,-125.31,0.5572,-0.201
0.027,-31.87,0.5572,-0.306
0.028,14.22,0.5374,-0.264
0.029,11.09,0.4978,-0.278
0.03,92.97,0.4978,-0.242
0.031,105.47,0.4978,-0.092
0.032,60.16,0.4978,-0.031
0.033,107.34,0.4978,0.028
0.034,91.87,0.4978,0.183
0.035,18.28,0.4978,0.212
0.036,43.13,0.4978,0.220
0.037,18.28,0.5434,0.298
0.038,-74.84,0.6347,0.257
0.039,-57.97,0.6347,0.149
0.04,-72.50,0.6347,0.141
0.041,-155.00,0.6347,0.004
0.042,-94.69,0.6347,-0.169
0.043,-40.31,0.6347,-0.186
0.044,-75.31,0.6347,-0.250
0.045,7.03,0.6347,-0.336
0.046,94.06,0.6347,-0.236
0.047,42.19,0.6347,-0.148
0.048,69.37,0.6347,-0.152
0.049,138.28,0.6347,-0.009
0.05,69.22,0.6347,0.125
0.051,57.81,0.6347,0.129
0.052,93.12,0.6347,0.241
0.053,1.56,0.6350,0.315
0.054,-51.09,0.6356,0.244
0.055,-22.81,0.6356,0.213
0.056,-87.03,0.6356,0.198
0.057,-140.00,0.6356,0.039
0.058,-78.13,0.6356,-0.082
0.059,-87.97,0.6356,-0.117
0.06,-101.56,0.6356,-0.258
0.061,10.78,0.6356,-0.320
0.062,39.84,0.6356,-0.236
0.063,21.41,0.6356,-0.241
0.064,107.66,0.6356,-0.193
0.065,109.69,0.6356,-0.025
0.066,53.91,0.6356,0.026
0.067,94.69,0.6356,0.083
0.068,69.69,0.6356,0.215
0.069,-1.56,0.6356,0.222
0.07,21.56,0.6356,0.212
0.071,0.16,0.6032,0.265
0.072,-84.53,0.5384,0.212
0.073,-76.72,0.5384,0.096
0.074,-78.91,0.5384,0.059
0.075,-143.44,0.5384,-0.062
0.076,-78.44,0.5384,-0.228
0.077,-11.09,0.5384,-0.219
0.078,-27.34,0.5384,-0.250
0.079,35.00,0.5384,-0.273
0.08,86.09,0.5384,-0.180
0.081,71.09,0.5384,-0.101
0.082,78.59,0.5384,-0.038
0.083,88.91,0.5384,0.056
0.084,52.03,0.5384,0.140
0.085,49.53,0.5384,0.160
0.086,73.59,0.5384,0.239
0.087,-11.41,0.5626,0.307
0.088,-70.31,0.6109,0.216
0.089,-41.88,0.6109,0.167
0.09,-110.47,0.6109,0.133
0.091,-135.00,0.6109,-0.054
0.092,-59.06,0.6109,-0.138
0.093,-71.25,0.6109,-0.173
0.094,-65.63,0.6109,-0.280
0.095,23.75,0.6109,-0.304
0.096,64.53,0.6109,-0.233
0.097,45.94,0.6109,-0.175
0.098,100.00,0.6109,-0.141
0.099,119.69,0.6109,0.025
0.1,66.25,0.6109,0.099
0.101,98.28,0.6109,0.158
0.102,52.03,0.4367,0.295
0.103,-44.06,0.0881,0.262
0.104,-7.19,0.0881,0.207
0.105,-19.06,0.2390,0.248
0.106,-117.19,0.5406,0.169
0.107,-99.22,0.5406,0.013
0.108,-72.19,0.5406,-0.029
0.109,-131.87,0.5406,-0.131
0.11,-68.13,0.5406,-0.293
0.111,16.09,0.5406,-0.268
0.112,0.78,0.5406,-0.261
0.113,46.72,0.5406,-0.266
0.114,106.41,0.5406,-0.168
0.115,76.72,0.5406,-0.053
0.116,73.12,0.5406,-0.014
0.117,124.37,0.5406,0.093
0.118,60.78,0.3682,0.235
0.119,1.72,0.0234,0.215
0.12,20.94,0.0234,0.238
0.121,-39.37,0.2043,0.257
0.122,-77.19,0.5659,0.159
0.123,-66.72,0.5659,0.102
0.124,-118.28,0.5659,0.026
0.125,-105.78,0.5659,-0.134
0.126,-27.81,0.5659,-0.186
0.127,-48.91,0.5659,-0.190
0.128,-48.28,0.5659,-0.283
0.129,61.41,0.5659,-0.287
0.13,64.69,0.5659,-0.161
0.131,57.03,0.5659,-0.157
0.132,136.56,0.5659,-0.047
0.133,91.25,0.5659,0.116
0.134,22.34,0.5659,0.136
0.135,71.72,0.5659,0.161
0.136,60.47,0.5659,0.279
0.137,-30.94,0.3986,0.282
0.138,-21.72,0.0641,0.218
0.139,-54.22,0.2262,0.238
0.14,-161.25,0.5506,0.109
0.141,-112.19,0.5506,-0.084
0.142,-62.97,0.5506,-0.115
0.143,-98.59,0.5506,-0.210
0.144,-34.53,0.5506,-0.313
0.145,34.69,0.5506,-0.279
0.146,23.44,0.5506,-0.243
0.147,71.09,0.5506,-0.233
0.148,123.44,0.5506,-0.101
0.149,67.81,0.5506,0.014
0.15,64.06,0.5506,0.035
0.151,99.84,0.5506,0.143
0.152,40.94,0.3704,0.234
0.153,7.03,0.0100,0.224
0.154,8.75,0.1765,0.248
0.155,-67.19,0.5094,0.242
0.156,-101.09,0.5094,0.114
0.157,-68.91,0.5094,0.040
0.158,-105.62,0.5094,-0.024
0.159,-102.03,0.5094,-0.172
0.16,-31.09,0.5094,-0.228
0.161,-16.56,0.5094,-0.234
0.162,1.56,0.5094,-0.261
0.163,70.94,0.5094,-0.231
0.164,75.63,0.5094,-0.119
0.165,59.84,0.5094,-0.079
0.166,112.19,0.5094,0.001
0.167,95.00,0.5094,0.145
0.168,40.63,0.5094,0.191
0.169,41.56,0.5094,0.226
0.17,3.75,0.3778,0.274
0.171,-57.34,0.1147,0.234
0.172,-14.38,0.1147,0.159
0.173,-57.50,0.2545,0.205
0.174,-175.78,0.5341,0.044
0.175,-103.91,0.5341,-0.147
0.176,-42.03,0.5341,-0.164
0.177,-81.56,0.5341,-0.231
0.178,-6.25,0.5341,-0.327
0.179,62.19,0.5341,-0.243
0.18,27.03,0.5341,-0.203
0.181,73.75,0.5341,-0.189
0.182,126.41,0.5341,-0.055
0.183,70.78,0.5341,0.064
0.184,71.72,0.5341,0.087
0.185,72.66,0.5341,0.207
0.186,-10.16,0.3710,0.232
0.187,-16.41,0.0450,0.187
0.188,8.91,0.0450,0.199
0.189,-62.81,0.1918,0.205
0.19,-118.91,0.4853,0.073
0.191,-84.06,0.4853,-0.033
0.192,-89.06,0.4853,-0.095
0.193,-92.97,0.4853,-0.211
0.194,-20.47,0.4853,-0.281
0.195,2.97,0.4889,-0.252
0.196,10.94,0.4959,-0.275
0.197,100.16,0.4959,-0.230
0.198,101.41,0.4959,-0.074
0.199,51.88,0.4959,-0.028
0.2,100.47,0.4959,0.029
0.201,95.94,0.4959,0.173
0.202,20.31,0.4959,0.221
0.203,19.06,0.4959,0.214
0.204,0.47,0.5273,0.259
0.205,-75.31,0.5900,0.215
0.206,-61.87,0.5900,0.109
0.207,-68.13,0.5900,0.091
0.208,-125.47,0.5900,-0.028
0.209,-89.22,0.5900,-0.160
0.21,-57.50,0.5900,-0.206
0.211,-62.34,0.5900,-0.275
0.212,32.97,0.5900,-0.331
0.213,104.53,0.5900,-0.209
0.214,56.41,0.5900,-0.122
0.215,97.34,0.5900,-0.096
0.216,121.72,0.5900,0.073
0.217,40.00,0.5900,0.147
0.218,52.81,0.5900,0.153
0.219,80.47,0.5900,0.253
0.22,-6.41,0.6056,0.314
0.221,-50.47,0.6369,0.240
0.222,-32.66,0.6369,0.213
0.223,-94.38,0.6369,0.175
0.224,-115.16,0.6369,0.024
0.225,-63.13,0.6369,-0.055
0.226,-101.88,0.6369,-0.102
0.227,-110.47,0.6369,-0.259
0.228,0.78,0.6369,-0.323
0.229,48.28,0.6369,-0.258
0.23,45.00,0.6369,-0.226
