Time,Channel 1 ,Channel 2,Channel 3
0,82.77,NaN,0.031
0.001,82.79,NaN,0.023
0.002,82.76,NaN,0.015
0.003,82.73,NaN,0.009
0.004,82.73,NaN,0.003
0.005,82.77,NaN,-0.001
0.006,82.80,NaN,-0.002
0.007,82.82,NaN,0.003
0.008,82.87,NaN,0.005
0.009,82.88,NaN,0.011
0.01,82.88,NaN,0.018
0.011,82.86,NaN,0.021
0.012,82.88,NaN,0.025
0.013,82.93,NaN,0.025
0.014,82.86,NaN,0.023
0.015,82.89,NaN,0.018
0.016,82.88,NaN,0.011
0.017,82.86,NaN,0.003
0.018,82.83,NaN,-0.005
0.019,82.75,NaN,-0.010
0.02,82.73,NaN,-0.017
0.021,82.68,NaN,-0.019
0.022,82.63,NaN,-0.019
0.023,82.61,NaN,-0.017
0.024,82.54,NaN,-0.011
0.025,82.56,NaN,-0.005
0.026,82.60,NaN,0.001
0.027,82.65,NaN,0.006
0.028,82.61,NaN,0.011
0.029,82.66,NaN,0.013
0.03,82.65,NaN,0.013
0.031,82.66,NaN,0.012
0.032,82.70,NaN,0.006
0.033,82.72,NaN,-0.001
0.034,82.71,NaN,-0.007
0.035,82.74,NaN,-0.013
0.036,82.74,NaN,-0.019
0.037,82.70,NaN,-0.023
0.038,82.75,NaN,-0.025
0.039,82.73,NaN,-0.025
0.04,82.70,NaN,-0.018
0.041,82.66,NaN,-0.013
0.042,82.66,NaN,-0.007
0.043,82.66,NaN,0.002
0.044,82.64,NaN,0.006
0.045,82.66,NaN,0.011
0.046,82.66,NaN,0.013
0.047,82.64,NaN,0.012
0.048,82.61,NaN,0.008
0.049,82.60,NaN,0.002
0.05,82.58,NaN,-0.004
0.051,82.63,NaN,-0.011
0.052,82.59,NaN,-0.017
0.053,82.54,NaN,-0.022
0.054,82.56,NaN,-0.026
0.055,82.57,NaN,-0.024
0.056,82.49,NaN,-0.022
0.057,82.35,NaN,-0.016
0.058,82.24,NaN,-0.009
0.059,82.11,NaN,-0.003
0.06,82.04,NaN,0.003
0.061,82.20,NaN,0.008
0.062,82.43,NaN,0.011
0.063,82.58,NaN,0.012
0.064,82.70,NaN,0.011
0.065,82.73,NaN,0.006
0.066,82.69,NaN,-0.001
0.067,82.64,NaN,-0.005
0.068,82.72,NaN,-0.013
0.069,82.84,NaN,-0.018
0.07,82.98,NaN,-0.022
0.071,83.05,NaN,-0.024
0.072,83.12,NaN,-0.024
0.073,83.06,NaN,-0.021
0.074,83.08,NaN,-0.016
0.075,83.08,NaN,-0.010
0.076,83.08,NaN,-0.003
0.077,83.05,NaN,0.005
0.078,82.99,NaN,0.008
0.079,82.81,NaN,0.013
0.08,82.73,NaN,0.014
0.081,82.63,NaN,0.012
0.082,82.59,NaN,0.006
0.083,82.48,NaN,-0.001
0.084,82.48,NaN,-0.007
0.085,82.41,NaN,-0.014
0.086,82.28,NaN,-0.018
0.087,82.28,NaN,-0.023
0.088,82.30,NaN,-0.023
0.089,82.40,NaN,-0.022
0.09,82.44,NaN,-0.018
0.091,82.52,NaN,-0.013
