Interval=	0.001 s
ExcelDateTime=	4.5310468778679533e+004	1/19/2024 11:15:02.477911
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.6548 V	10.000 V
0.002	NaN	0.192
0.003	0.6247	0.298
0.004	0.6247	0.284
0.005	0.6247	0.198
0.006	0.6247	0.171
0.007	0.6247	0.074
0.008	0.6247	-0.103
0.009	0.6247	-0.149
0.01	0.6247	-0.230
0.011	0.6247	-0.326
0.012	0.6247	-0.285
0.013	0.6247	-0.188
0.014	0.6247	-0.178
0.015	0.6247	-0.057
0.016	0.6247	0.059
0.017	0.6247	0.082
0.018	0.6247	0.190
0.019	0.4386	0.283
0.02	0.0666	0.253
0.021	0.0666	0.216
0.022	0.2301	0.251
0.023	0.5572	0.113
0.024	0.5572	-0.007
0.025	0.5572	-0.056
0.026	0.5572	-0.201
0.027	0.5572	-0.306
0.028	0.5374	-0.264
0.029	0.4978	-0.278
0.03	0.4978	-0.242
0.031	0.4978	-0.092
0.032	0.4978	-0.031
0.033	0.4978	0.028
0.034	0.4978	0.183
0.035	0.4978	0.212
0.036	0.4978	0.220
0.037	0.5434	0.298
0.038	0.6347	0.257
0.039	0.6347	0.149
0.04	0.6347	0.141
0.041	0.6347	0.004
0.042	0.6347	-0.169
0.043	0.6347	-0.186
0.044	0.6347	-0.250
0.045	0.6347	-0.336
0.046	0.6347	-0.236
0.047	0.6347	-0.148
0.048	0.6347	-0.152
0.049	0.6347	-0.009
0.05	0.6347	0.125
0.051	0.6347	0.129
0.052	0.6347	0.241
0.053	0.6350	0.315
0.054	0.6356	0.244
0.055	0.6356	0.213
0.056	0.6356	0.198
0.057	0.6356	0.039
0.058	0.6356	-0.082
0.059	0.6356	-0.117
0.06	0.6356	-0.258
0.061	0.6356	-0.320
0.062	0.6356	-0.236
0.063	0.6356	-0.241
0.064	0.6356	-0.193
0.065	0.6356	-0.025
0.066	0.6356	0.026
0.067	0.6356	0.083
0.068	0.6356	0.215
0.069	0.6356	0.222
0.07	0.6356	0.212
0.071	0.6032	0.265
0.072	0.5384	0.212
0.073	0.5384	0.096
0.074	0.5384	0.059
0.075	0.5384	-0.062
0.076	0.5384	-0.228
0.077	0.5384	-0.219
0.078	0.5384	-0.250
0.079	0.5384	-0.273
0.08	0.5384	-0.180
0.081	0.5384	-0.101
0.082	0.5384	-0.038
0.083	0.5384	0.056
0.084	0.5384	0.140
0.085	0.5384	0.160
0.086	0.5384	0.239
0.087	0.5626	0.307
0.088	0.6109	0.216
0.089	0.6109	0.167
0.09	0.6109	0.133
0.091	0.6109	-0.054
0.092	0.6109	-0.138
0.093	0.6109	-0.173
0.094	0.6109	-0.280
0.095	0.6109	-0.304
0.096	0.6109	-0.233
0.097	0.6109	-0.175
0.098	0.6109	-0.141
0.099	0.6109	0.025
0.1	0.6109	0.099
0.101	0.6109	0.158
0.102	0.4367	0.295
0.103	0.0881	0.262
0.104	0.0881	0.207
0.105	0.2390	0.248
0.106	0.5406	0.169
0.107	0.5406	0.013
0.108	0.5406	-0.029
0.109	0.5406	-0.131
0.11	0.5406	-0.293
0.111	0.5406	-0.268
0.112	0.5406	-0.261
0.113	0.5406	-0.266
0.114	0.5406	-0.168
0.115	0.5406	-0.053
0.116	0.5406	-0.014
0.117	0.5406	0.093
0.118	0.3682	0.235
0.119	0.0234	0.215
0.12	0.0234	0.238
0.121	0.2043	0.257
0.122	0.5659	0.159
0.123	0.5659	0.102
0.124	0.5659	0.026
0.125	0.5659	-0.134
0.126	0.5659	-0.186
0.127	0.5659	-0.190
0.128	0.5659	-0.283
0.129	0.5659	-0.287
0.13	0.5659	-0.161
0.131	0.5659	-0.157
0.132	0.5659	-0.047
0.133	0.5659	0.116
0.134	0.5659	0.136
0.135	0.5659	0.161
0.136	0.5659	0.279
0.137	0.3986	0.282
0.138	0.0641	0.218
0.139	0.2262	0.238
0.14	0.5506	0.109
0.141	0.5506	-0.084
0.142	0.5506	-0.115
0.143	0.5506	-0.210
0.144	0.5506	-0.313
0.145	0.5506	-0.279
0.146	0.5506	-0.243
0.147	0.5506	-0.233
0.148	0.5506	-0.101
0.149	0.5506	0.014
0.15	0.5506	0.035
0.151	0.5506	0.143
0.152	0.3704	0.234
0.153	0.0100	0.224
0.154	0.1765	0.248
0.155	0.5094	0.242
0.156	0.5094	0.114
0.157	0.5094	0.040
0.158	0.5094	-0.024
0.159	0.5094	-0.172
0.16	0.5094	-0.228
0.161	0.5094	-0.234
0.162	0.5094	-0.261
0.163	0.5094	-0.231
0.164	0.5094	-0.119
0.165	0.5094	-0.079
0.166	0.5094	0.001
0.167	0.5094	0.145
0.168	0.5094	0.191
0.169	0.5094	0.226
0.17	0.3778	0.274
0.171	0.1147	0.234
0.172	0.1147	0.159
0.173	0.2545	0.205
0.174	0.5341	0.044
0.175	0.5341	-0.147
0.176	0.5341	-0.164
0.177	0.5341	-0.231
0.178	0.5341	-0.327
0.179	0.5341	-0.243
0.18	0.5341	-0.203
0.181	0.5341	-0.189
0.182	0.5341	-0.055
0.183	0.5341	0.064
0.184	0.5341	0.087
0.185	0.5341	0.207
0.186	0.3710	0.232
0.187	0.0450	0.187
0.188	0.0450	0.199
0.189	0.1918	0.205
0.19	0.4853	0.073
0.191	0.4853	-0.033
0.192	0.4853	-0.095
0.193	0.4853	-0.211
0.194	0.4853	-0.281
0.195	0.4889	-0.252
0.196	0.4959	-0.275
0.197	0.4959	-0.230
0.198	0.4959	-0.074
0.199	0.4959	-0.028
0.2	0.4959	0.029
0.201	0.4959	0.173
0.202	0.4959	0.221
0.203	0.4959	0.214
0.204	0.5273	0.259
0.205	0.5900	0.215
0.206	0.5900	0.109
0.207	0.5900	0.091
0.208	0.5900	-0.028
0.209	0.5900	-0.160
0.21	0.5900	-0.206
0.211	0.5900	-0.275
0.212	0.5900	-0.331
0.213	0.5900	-0.209
0.214	0.5900	-0.122
0.215	0.5900	-0.096
0.216	0.5900	0.073
0.217	0.5900	0.147
0.218	0.5900	0.153
0.219	0.5900	0.253
0.22	0.6056	0.314
0.221	0.6369	0.240
0.222	0.6369	0.213
0.223	0.6369	0.175
0.224	0.6369	0.024
0.225	0.6369	-0.055
0.226	0.6369	-0.102
0.227	0.6369	-0.259
0.228	0.6369	-0.323
0.229	0.6369	-0.258
0.23	0.6369	-0.226
0.231	0.6369	-0.168
0.232	0.6369	-0.015
0.233	0.6369	0.052
0.234	0.6369	0.113
0.235	0.4356	0.259
0.236	0.0331	0.250
0.237	0.0331	0.226
0.238	0.2161	0.266
0.239	0.5822	0.174
0.24	0.5822	0.070
0.241	0.5822	-0.004
0.242	0.5822	-0.100
0.243	0.5822	-0.229
0.244	0.5822	-0.224
0.245	0.5822	-0.260
0.246	0.5822	-0.295
0.247	0.5822	-0.165
0.248	0.5822	-0.072
0.249	0.5822	-0.029
0.25	0.5822	0.119
0.251	0.5822	0.184
0.252	0.5822	0.198
0.253	0.5822	0.287
0.254	0.5862	0.293
0.255	0.5944	0.183
0.256	0.5944	0.162
0.257	0.5944	0.061
0.258	0.5944	-0.102
0.259	0.5944	-0.154
0.26	0.5944	-0.200
0.261	0.5944	-0.295
0.262	0.5944	-0.301
0.263	0.5944	-0.186
0.264	0.5944	-0.165
0.265	0.5944	-0.103
0.266	0.5944	0.080
0.267	0.5944	0.109
0.268	0.5944	0.160
0.269	0.4226	0.274
0.27	0.0791	0.274
0.271	0.0791	0.195
0.272	0.2233	0.235
0.273	0.5119	0.125
0.274	0.5119	-0.021
0.275	0.5119	-0.081
0.276	0.5119	-0.168
0.277	0.5119	-0.277
0.278	0.4752	-0.248
0.279	0.4019	-0.262
0.28	0.4019	-0.258
0.281	0.4019	-0.109
0.282	0.4019	-0.025
0.283	0.4019	0.016
0.284	0.4019	0.140
0.285	0.2807	0.240
0.286	0.0384	0.202
0.287	0.2175	0.263
0.288	0.5756	0.256
0.289	0.5756	0.152
0.29	0.5756	0.111
0.291	0.5756	0.015
0.292	0.5756	-0.138
0.293	0.5756	-0.194
0.294	0.5756	-0.235
0.295	0.5756	-0.313
0.296	0.5756	-0.280
0.297	0.5756	-0.172
0.298	0.5756	-0.126
0.299	0.5756	-0.015
0.3	0.5756	0.117
0.301	0.5756	0.135
0.302	0.5756	0.216
0.303	0.5902	0.298
0.304	0.6194	0.255
0.305	0.6194	0.193
0.306	0.6194	0.200
0.307	0.6194	0.059
0.308	0.6194	-0.068
0.309	0.6194	-0.120
0.31	0.6194	-0.250
0.311	0.6194	-0.321
0.312	0.6194	-0.278
0.313	0.6194	-0.224
0.314	0.6194	-0.204
0.315	0.6194	-0.070
0.316	0.6194	0.040
0.317	0.6194	0.080
0.318	0.6194	0.205
0.319	0.4162	0.254
0.32	0.0100	0.244
0.321	0.1864	0.273
0.322	0.5391	0.226
0.323	0.5391	0.101
0.324	0.5391	-0.005
0.325	0.5391	-0.055
0.326	0.5391	-0.195
0.327	0.5391	-0.232
0.328	0.5391	-0.241
0.329	0.5391	-0.266
0.33	0.5391	-0.218
0.331	0.5391	-0.084
0.332	0.5391	-0.036
0.333	0.5391	0.058
0.334	0.5391	0.200
0.335	0.5391	0.228
0.336	0.5391	0.223
0.337	0.5637	0.278
0.338	0.6131	0.206
0.339	0.6131	0.136
0.34	0.6131	0.132
0.341	0.6131	-0.018
0.342	0.6131	-0.158
0.343	0.6131	-0.186
0.344	0.6131	-0.269
0.345	0.6131	-0.335
0.346	0.6131	-0.238
0.347	0.6131	-0.171
0.348	0.6131	-0.144
0.349	0.6131	0.026
0.35	0.6131	0.128
0.351	0.6131	0.142
0.352	0.6131	0.263
0.353	0.4348	0.296
0.354	0.0781	0.218
0.355	0.2216	0.242
0.356	0.5084	0.218
0.357	0.5084	0.049
0.358	0.5084	-0.037
0.359	0.5084	-0.104
0.36	0.5084	-0.231
0.361	0.5084	-0.267
0.362	0.5084	-0.246
0.363	0.5084	-0.245
0.364	0.5084	-0.188
0.365	0.5084	-0.049
0.366	0.5084	0.004
0.367	0.5084	0.093
0.368	0.5084	0.229
0.369	0.3459	0.250
0.37	0.0209	0.229
0.371	0.2111	0.272
0.372	0.5916	0.209
0.373	0.5916	0.094
0.374	0.5916	0.043
0.375	0.5916	-0.063
0.376	0.5916	-0.185
0.377	0.5916	-0.220
0.378	0.5916	-0.266
0.379	0.5916	-0.320
0.38	0.5916	-0.163
0.381	0.5916	-0.111
0.382	0.5916	-0.076
0.383	0.5916	0.091
0.384	0.5916	0.159
0.385	0.5916	0.175
0.386	0.5916	0.258
0.387	0.5903	0.278
0.388	0.5878	0.202
0.389	0.5878	0.188
0.39	0.5878	0.097
0.391	0.5878	-0.073
0.392	0.5878	-0.143
0.393	0.5878	-0.184
0.394	0.5878	-0.296
0.395	0.5878	-0.310
0.396	0.5878	-0.236
0.397	0.5878	-0.229
0.398	0.5878	-0.133
0.399	0.5878	0.030
0.4	0.5878	0.063
0.401	0.5878	0.126
0.402	0.4007	0.238
0.403	0.0266	0.211
0.404	0.0266	0.212
0.405	0.1864	0.253
0.406	0.5059	0.162
0.407	0.5059	0.033
0.408	0.5059	-0.027
0.409	0.5059	-0.126
0.41	0.5059	-0.253
0.411	0.4689	-0.233
0.412	0.3947	-0.265
0.413	0.3947	-0.263
0.414	0.3947	-0.142
0.415	0.3947	-0.057
0.416	0.3947	0.023
0.417	0.3947	0.130
0.418	0.2860	0.227
0.419	0.0688	0.209
0.42	0.0688	0.278
0.421	0.2493	0.291
0.422	0.6103	0.183
0.423	0.6103	0.133
0.424	0.6103	0.014
0.425	0.6103	-0.149
0.426	0.6103	-0.205
0.427	0.6103	-0.240
0.428	0.6103	-0.319
0.429	0.6103	-0.292
0.43	0.6103	-0.201
0.431	0.6103	-0.191
0.432	0.6103	-0.086
0.433	0.6103	0.072
0.434	0.6103	0.131
0.435	0.6103	0.176
0.436	0.5936	0.261
0.437	0.5603	0.233
0.438	0.5603	0.197
0.439	0.5603	0.198
0.44	0.5603	0.089
0.441	0.5603	-0.057
0.442	0.5603	-0.076
0.443	0.5603	-0.200
0.444	0.5603	-0.299
0.445	0.5603	-0.259
0.446	0.5603	-0.243
0.447	0.5603	-0.205
0.448	0.5603	-0.080
0.449	0.5603	0.014
0.45	0.5603	0.058
0.451	0.5603	0.181
0.452	0.3891	0.253
0.453	0.0466	0.206
0.454	0.2116	0.263
0.455	0.5416	0.244
0.456	0.5416	0.142
0.457	0.5416	0.082
0.458	0.5416	-0.013
0.459	0.5416	-0.178
0.46	0.5416	-0.212
0.461	0.5416	-0.248
0.462	0.5416	-0.279
0.463	0.5416	-0.223
0.464	0.5416	-0.115
0.465	0.5416	-0.076
0.466	0.5416	0.052
0.467	0.5416	0.154
0.468	0.5416	0.181
0.469	0.5416	0.220
0.47	0.5660	0.306
0.471	0.6150	0.257
0.472	0.6150	0.181
0.473	0.6150	0.173
0.474	0.6150	-0.006
0.475	0.6150	-0.127
0.476	0.6150	-0.139
0.477	0.6150	-0.242
0.478	0.6150	-0.309
0.479	0.6150	-0.229
0.48	0.6150	-0.183
0.481	0.6150	-0.163
0.482	0.6150	-0.000
0.483	0.6150	0.071
0.484	0.6150	0.093
0.485	0.6150	0.233
0.486	0.4306	0.271
0.487	0.0619	0.209
0.488	0.2383	0.262
0.489	0.5913	0.213
0.49	0.5913	0.058
0.491	0.5913	-0.027
0.492	0.5913	-0.106
0.493	0.5913	-0.233
0.494	0.5913	-0.279
0.495	0.5913	-0.272
0.496	0.5913	-0.330
0.497	0.5913	-0.219
0.498	0.5913	-0.065
0.499	0.5913	-0.028
0.5	0.5913	0.068
0.501	0.5913	0.204
0.502	0.5913	0.209
0.503	0.5913	0.241
0.504	0.6067	0.297
0.505	0.6375	0.210
0.506	0.6375	0.129
0.507	0.6375	0.085
0.508	0.6375	-0.067
0.509	0.6375	-0.167
0.51	0.6375	-0.203
0.511	0.6375	-0.310
0.512	0.6375	-0.340
0.513	0.6375	-0.238
0.514	0.6375	-0.182
0.515	0.6375	-0.113
0.516	0.6375	0.058
0.517	0.6375	0.122
0.518	0.6375	0.162
0.519	0.6184	0.268
0.52	0.5803	0.258
0.521	0.5803	0.189
0.522	0.5803	0.186
0.523	0.5803	0.145
0.524	0.5803	-0.019
0.525	0.5803	-0.071
0.526	0.5803	-0.135
0.527	0.5803	-0.289
0.528	0.5803	-0.312
0.529	0.5803	-0.280
0.53	0.5803	-0.248
0.531	0.5803	-0.152
0.532	0.5803	-0.022
0.533	0.5803	0.037
0.534	0.5803	0.109
0.535	0.5803	0.221
0.536	0.5803	0.211
0.537	0.5803	0.213
0.538	0.5568	0.254
0.539	0.5097	0.159
0.54	0.5097	0.046
0.541	0.5097	-0.013
0.542	0.5097	-0.145
0.543	0.5097	-0.255
0.544	0.5035	-0.242
0.545	0.4913	-0.310
0.546	0.4913	-0.310
0.547	0.4913	-0.169
0.548	0.4913	-0.110
0.549	0.4913	-0.052
0.55	0.4913	0.123
0.551	0.4913	0.163
0.552	0.4913	0.181
0.553	0.5171	0.269
0.554	0.5688	0.265
0.555	0.5688	0.174
0.556	0.5688	0.165
0.557	0.5688	0.044
0.558	0.5688	-0.118
0.559	0.5688	-0.157
0.56	0.5688	-0.209
0.561	0.5688	-0.300
0.562	0.5688	-0.277
0.563	0.5688	-0.206
0.564	0.5688	-0.189
0.565	0.5688	-0.077
0.566	0.5688	0.065
0.567	0.5688	0.088
0.568	0.5688	0.159
0.569	0.3915	0.257
0.57	0.0369	0.237
0.571	0.0369	0.220
0.572	0.2068	0.244
0.573	0.5466	0.123
0.574	0.5466	-0.025
0.575	0.5466	-0.062
0.576	0.5466	-0.200
0.577	0.5466	-0.302
0.578	0.5244	-0.251
0.579	0.4800	-0.276
0.58	0.4800	-0.266
0.581	0.4800	-0.136
0.582	0.4800	-0.028
0.583	0.4800	0.022
0.584	0.4800	0.149
0.585	0.4800	0.192
0.586	0.4800	0.204
0.587	0.5246	0.289
0.588	0.6137	0.273
0.589	0.6137	0.157
0.59	0.6137	0.121
0.591	0.6137	0.013
0.592	0.6137	-0.151
0.593	0.6137	-0.173
0.594	0.6137	-0.227
0.595	0.6137	-0.324
0.596	0.6137	-0.240
0.597	0.6137	-0.159
0.598	0.6137	-0.127
0.599	0.6137	0.000
0.6	0.6137	0.134
0.601	0.6137	0.154
0.602	0.6137	0.221
0.603	0.4342	0.282
0.604	0.0750	0.241
0.605	0.0750	0.207
0.606	0.2214	0.227
0.607	0.5141	0.065
0.608	0.5141	-0.067
0.609	0.5141	-0.088
0.61	0.5141	-0.214
0.611	0.5141	-0.283
0.612	0.5141	-0.228
0.613	0.5141	-0.204
0.614	0.5141	-0.175
0.615	0.5141	-0.015
0.616	0.5141	0.059
0.617	0.5141	0.096
0.618	0.5141	0.231
0.619	0.3511	0.268
0.62	0.0253	0.243
0.621	0.2066	0.287
0.622	0.5691	0.230
0.623	0.5691	0.110
0.624	0.5691	0.033
0.625	0.5691	-0.040
0.626	0.5691	-0.200
0.627	0.5691	-0.237
0.628	0.5691	-0.242
0.629	0.5691	-0.282
0.63	0.5691	-0.191
0.631	0.5691	-0.071
0.632	0.5691	-0.007
0.633	0.5691	0.089
0.634	0.5691	0.208
0.635	0.5691	0.230
0.636	0.5691	0.254
0.637	0.5932	0.315
0.638	0.6416	0.216
0.639	0.6416	0.177
0.64	0.6416	0.145
0.641	0.6416	-0.014
0.642	0.6416	-0.136
0.643	0.6416	-0.184
0.644	0.6416	-0.292
0.645	0.6416	-0.327
0.646	0.6416	-0.212
0.647	0.6416	-0.177
0.648	0.6416	-0.135
0.649	0.6416	0.030
0.65	0.6416	0.095
0.651	0.6416	0.126
0.652	0.6416	0.288
0.653	0.4379	0.290
0.654	0.0306	0.260
0.655	0.2082	0.293
0.656	0.5634	0.207
0.657	0.5634	0.063
0.658	0.5634	0.006
0.659	0.5634	-0.083
0.66	0.5634	-0.255
0.661	0.5634	-0.270
0.662	0.5634	-0.267
0.663	0.5634	-0.253
0.664	0.5634	-0.133
0.665	0.5634	-0.023
0.666	0.5634	0.016
0.667	0.5634	0.124
0.668	0.3907	0.232
0.669	0.0453	0.213
0.67	0.0453	0.259
0.671	0.2268	0.276
0.672	0.5897	0.177
0.673	0.5897	0.088
0.674	0.5897	0.030
0.675	0.5897	-0.126
0.676	0.5897	-0.211
0.677	0.5897	-0.229
0.678	0.5897	-0.310
0.679	0.5897	-0.314
0.68	0.5897	-0.168
0.681	0.5897	-0.130
0.682	0.5897	-0.089
0.683	0.5897	0.085
0.684	0.5897	0.136
0.685	0.5897	0.177
0.686	0.5884	0.280
0.687	0.5859	0.274
0.688	0.5859	0.195
0.689	0.5859	0.189
0.69	0.5859	0.111
0.691	0.5859	-0.050
0.692	0.5859	-0.092
0.693	0.5859	-0.168
0.694	0.5859	-0.306
0.695	0.5859	-0.262
0.696	0.5859	-0.246
0.697	0.5859	-0.233
0.698	0.5859	-0.088
0.699	0.5859	0.046
0.7	0.5859	0.071
0.701	0.5859	0.196
0.702	0.4057	0.260
0.703	0.0453	0.214
0.704	0.2048	0.245
0.705	0.5238	0.241
0.706	0.5238	0.124
0.707	0.5238	0.011
0.708	0.5238	-0.036
0.709	0.5238	-0.159
0.71	0.5238	-0.249
0.711	0.5238	-0.258
0.712	0.5238	-0.279
0.713	0.5238	-0.257
0.714	0.5238	-0.107
0.715	0.5238	-0.060
0.716	0.5238	0.016
0.717	0.5238	0.134
0.718	0.5238	0.179
0.719	0.5238	0.218
0.72	0.5576	0.289
0.721	0.6253	0.238
0.722	0.6253	0.171
0.723	0.6253	0.173
0.724	0.6253	0.027
0.725	0.6253	-0.133
0.726	0.6253	-0.166
0.727	0.6253	-0.243
0.728	0.6253	-0.336
0.729	0.6253	-0.265
0.73	0.6253	-0.183
0.731	0.6253	-0.160
0.732	0.6253	-0.016
