Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0	NaN	0.031
0.001	NaN	0.023
0.002	NaN	0.015
0.003	NaN	0.009
0.004	NaN	0.003
0.005	NaN	-0.001
0.006	NaN	-0.002
0.007	NaN	0.003
0.008	NaN	0.005
0.009	NaN	0.011
0.01	NaN	0.018
0.011	NaN	0.021
0.012	NaN	0.025
0.013	0.0437	0.025
0.014	0.0437	0.023
0.015	0.0437	0.018
0.016	0.0437	0.011
0.017	0.0437	0.003
0.018	0.0437	-0.005
0.019	0.0437	-0.010
0.02	0.0437	-0.017
0.021	0.0437	-0.019
0.022	0.0437	-0.019
0.023	0.0437	-0.017
0.024	0.0437	-0.011
0.025	0.0437	-0.005
0.026	0.0437	0.001
0.027	0.0437	0.006
0.028	0.0437	0.011
0.029	0.0437	0.013
0.03	0.0420	0.013
0.031	0.0384	0.012
0.032	0.0384	0.006
0.033	0.0384	-0.001
0.034	0.0384	-0.007
0.035	0.0384	-0.013
0.036	0.0384	-0.019
0.037	0.0384	-0.023
0.038	0.0384	-0.025
0.039	0.0384	-0.025
0.04	0.0384	-0.018
0.041	0.0384	-0.013
0.042	0.0384	-0.007
0.043	0.0384	0.002
0.044	0.0384	0.006
0.045	0.0384	0.011
0.046	0.0383	0.013
0.047	0.0381	0.012
0.048	0.0381	0.008
0.049	0.0381	0.002
0.05	0.0381	-0.004
0.051	0.0381	-0.011
0.052	0.0381	-0.017
0.053	0.0381	-0.022
0.054	0.0381	-0.026
0.055	0.0381	-0.024
0.056	0.0381	-0.022
0.057	0.0381	-0.016
0.058	0.0381	-0.009
0.059	0.0381	-0.003
0.06	0.0381	0.003
0.061	0.0381	0.008
0.062	0.0381	0.011
0.063	0.0378	0.012
0.064	0.0372	0.011
0.065	0.0372	0.006
0.066	0.0372	-0.001
0.067	0.0372	-0.005
0.068	0.0372	-0.013
0.069	0.0372	-0.018
0.07	0.0372	-0.022
0.071	0.0372	-0.024
0.072	0.0372	-0.024
