Time,Group,Intracellular_Calcium
0.0,ank,1.0571428571428572
0.0,ctrl,0.8520000000000001
0.004,ank,1.0578571428571428
0.004,ctrl,0.8522857142857143
0.008,ank,1.054857142857143
0.008,ctrl,0.8512857142857143
0.012,ank,1.0571428571428572
0.012,ctrl,0.8492857142857143
0.016,ank,1.0551428571428572
0.016,ctrl,0.8504285714285714
0.02,ank,1.0532857142857144
0.02,ctrl,0.8492857142857143
0.024,ank,1.054
0.024,ctrl,0.8465714285714286
0.028,ank,1.0507142857142857
0.028,ctrl,0.8464285714285714
0.032,ank,1.051
0.032,ctrl,0.8470000000000001
0.036,ank,1.048142857142857
0.036,ctrl,0.845
0.04,ank,1.053
0.04,ctrl,0.845
0.044,ank,1.0530000000000002
0.044,ctrl,0.8428571428571429
0.048,ank,1.0452857142857144
0.048,ctrl,0.8431428571428572
0.052,ank,1.0471428571428572
0.052,ctrl,0.8408571428571429
0.056,ank,1.0467142857142857
0.056,ctrl,0.8421428571428572
0.06,ank,1.0454285714285714
0.06,ctrl,0.8391428571428572
0.064,ank,1.0444285714285715
0.064,ctrl,0.8411428571428571
0.068,ank,1.0414285714285714
0.068,ctrl,0.8404285714285714
0.072,ank,1.044142857142857
0.072,ctrl,0.8382857142857143
0.076,ank,1.0431428571428571
0.076,ctrl,0.836857142857143
0.08,ank,1.0464285714285715
0.08,ctrl,0.8374285714285714
0.084,ank,1.0445714285714285
0.084,ctrl,0.8361428571428571
0.088,ank,1.0437142857142858
0.088,ctrl,0.8351428571428572
0.092,ank,1.042
0.092,ctrl,0.8357142857142856
0.096,ank,1.0444285714285715
0.096,ctrl,0.8361428571428571
0.1,ank,1.082142857142857
0.1,ctrl,0.8445714285714285
0.104,ank,1.1502857142857141
0.104,ctrl,0.8615714285714285
0.108,ank,1.2077142857142857
0.108,ctrl,0.8814285714285715
0.112,ank,1.257
0.112,ctrl,0.9004285714285715
0.116,ank,1.2935714285714286
0.116,ctrl,0.9197142857142858
0.12,ank,1.3252857142857142
0.12,ctrl,0.9311428571428573
0.124,ank,1.3554285714285714
0.124,ctrl,0.9451428571428571
0.128,ank,1.3825714285714288
0.128,ctrl,0.9532857142857143
0.132,ank,1.397
0.132,ctrl,0.9635714285714286
0.136,ank,1.4201428571428572
0.136,ctrl,0.9722857142857143
0.14,ank,1.434
0.14,ctrl,0.9801428571428571
0.144,ank,1.452142857142857
0.144,ctrl,0.9887142857142858
0.148,ank,1.4658571428571427
0.148,ctrl,0.9941428571428571
0.152,ank,1.4824285714285714
0.152,ctrl,1.0004285714285714
0.156,ank,1.4855714285714285
0.156,ctrl,1.0062857142857142
0.16,ank,1.5047142857142857
0.16,ctrl,1.0118571428571428
0.164,ank,1.5151428571428571
0.164,ctrl,1.018
0.168,ank,1.521857142857143
0.168,ctrl,1.0218571428571428
0.172,ank,1.534
0.172,ctrl,1.0254285714285714
0.176,ank,1.5414285714285716
0.176,ctrl,1.0324285714285715
0.18,ank,1.5512857142857144
0.18,ctrl,1.0375714285714286
0.184,ank,1.5622857142857143
0.184,ctrl,1.0392857142857144
0.188,ank,1.5681428571428573
0.188,ctrl,1.0414285714285714
0.192,ank,1.5695714285714286
0.192,ctrl,1.0475714285714286
0.196,ank,1.5778571428571428
0.196,ctrl,1.0495714285714286
0.2,ank,1.587
0.2,ctrl,1.0537142857142856
0.204,ank,1.593
0.204,ctrl,1.0571428571428572
0.208,ank,1.5907142857142857
0.208,ctrl,1.060857142857143
0.212,ank,1.5955714285714286
0.212,ctrl,1.0634285714285714
0.216,ank,1.602857142857143
0.216,ctrl,1.0684285714285715
0.22,ank,1.6137142857142857
0.22,ctrl,1.0695714285714286
0.224,ank,1.613
0.224,ctrl,1.0725714285714285
0.228,ank,1.6104285714285713
0.228,ctrl,1.074
0.232,ank,1.6204285714285713
0.232,ctrl,1.076142857142857
0.236,ank,1.6281428571428571
0.236,ctrl,1.08
0.24,ank,1.6300000000000001
0.24,ctrl,1.0812857142857142
0.244,ank,1.6304285714285716
0.244,ctrl,1.0858571428571429
0.248,ank,1.6321428571428573
0.248,ctrl,1.0854285714285714
0.252,ank,1.627857142857143
0.252,ctrl,1.0879999999999999
0.256,ank,1.635142857142857
0.256,ctrl,1.0917142857142856
0.26,ank,1.6402857142857141
0.26,ctrl,1.0925714285714285
0.264,ank,1.6422857142857143
0.264,ctrl,1.0964285714285713
0.268,ank,1.641714285714286
0.268,ctrl,1.096142857142857
0.272,ank,1.6414285714285715
0.272,ctrl,1.0978571428571429
0.276,ank,1.6402857142857141
0.276,ctrl,1.0985714285714285
0.28,ank,1.6448571428571428
0.28,ctrl,1.1045714285714285
0.284,ank,1.6461428571428571
0.284,ctrl,1.1004285714285715
0.288,ank,1.645857142857143
0.288,ctrl,1.1035714285714284
0.292,ank,1.647285714285714
0.292,ctrl,1.1055714285714286
0.296,ank,1.6490000000000002
0.296,ctrl,1.1057142857142856
0.3,ank,1.644
0.3,ctrl,1.1064285714285715
0.304,ank,1.6389999999999998
0.304,ctrl,1.1077142857142857
0.308,ank,1.640857142857143
0.308,ctrl,1.1122857142857143
0.312,ank,1.6500000000000001
0.312,ctrl,1.1122857142857143
0.316,ank,1.643
0.316,ctrl,1.1131428571428572
0.32,ank,1.6374285714285715
0.32,ctrl,1.114
0.324,ank,1.6414285714285715
0.324,ctrl,1.1118571428571429
0.328,ank,1.6364285714285713
0.328,ctrl,1.1137142857142857
0.332,ank,1.635
0.332,ctrl,1.1131428571428572
0.336,ank,1.631142857142857
0.336,ctrl,1.1151428571428572
0.34,ank,1.6301428571428571
0.34,ctrl,1.1124285714285713
0.344,ank,1.6264285714285713
0.344,ctrl,1.115
0.348,ank,1.6232857142857142
0.348,ctrl,1.1128571428571428
0.352,ank,1.6208571428571428
0.352,ctrl,1.1132857142857142
0.356,ank,1.6212857142857142
0.356,ctrl,1.1152857142857144
0.36,ank,1.6155714285714287
0.36,ctrl,1.114
0.364,ank,1.6158571428571429
0.364,ctrl,1.1145714285714285
0.368,ank,1.6071428571428572
0.368,ctrl,1.1157142857142859
0.372,ank,1.6012857142857142
0.372,ctrl,1.1122857142857143
0.376,ank,1.6010000000000002
0.376,ctrl,1.1138571428571429
0.38,ank,1.5994285714285714
0.38,ctrl,1.1138571428571429
0.384,ank,1.5905714285714285
0.384,ctrl,1.1132857142857142
0.388,ank,1.5864285714285715
0.388,ctrl,1.1118571428571429
0.392,ank,1.5815714285714286
0.392,ctrl,1.1114285714285714
0.396,ank,1.5778571428571428
0.396,ctrl,1.1088571428571428
0.4,ank,1.576
0.4,ctrl,1.108857142857143
0.404,ank,1.5684285714285713
0.404,ctrl,1.1078571428571429
0.408,ank,1.5625714285714287
0.408,ctrl,1.1072857142857144
0.412,ank,1.5558571428571428
0.412,ctrl,1.1077142857142857
0.416,ank,1.549
0.416,ctrl,1.1052857142857142
0.42,ank,1.5502857142857143
0.42,ctrl,1.1055714285714286
0.424,ank,1.5397142857142858
0.424,ctrl,1.103142857142857
0.428,ank,1.5367142857142857
0.428,ctrl,1.098142857142857
0.432,ank,1.5331428571428571
0.432,ctrl,1.098857142857143
0.436,ank,1.5234285714285714
0.436,ctrl,1.0978571428571429
0.44,ank,1.5177142857142858
0.44,ctrl,1.0972857142857142
0.444,ank,1.511
0.444,ctrl,1.0968571428571428
0.448,ank,1.5051428571428571
0.448,ctrl,1.0904285714285715
0.452,ank,1.499
0.452,ctrl,1.094
0.456,ank,1.4922857142857142
0.456,ctrl,1.091
0.46,ank,1.4902857142857144
0.46,ctrl,1.0882857142857143
0.464,ank,1.4858571428571428
0.464,ctrl,1.0874285714285714
0.468,ank,1.471857142857143
0.468,ctrl,1.0858571428571429
0.472,ank,1.467857142857143
0.472,ctrl,1.0847142857142857
0.476,ank,1.4600000000000002
0.476,ctrl,1.082
0.48,ank,1.458
0.48,ctrl,1.0812857142857142
0.484,ank,1.4467142857142858
0.484,ctrl,1.0762857142857143
0.488,ank,1.4412857142857143
0.488,ctrl,1.075
0.492,ank,1.4367142857142858
0.492,ctrl,1.0722857142857143
0.496,ank,1.4317142857142857
0.496,ctrl,1.0734285714285714
0.5,ank,1.4218571428571427
0.5,ctrl,1.0682857142857143
0.504,ank,1.4197142857142857
